순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"762","국내도서","경제금융용어 700선","K012632571","9791155383933","03320","한국은행","한국은행 편집부 엮음","8,000","7,760","240","3%","0점","20200818","23773"
"763","국내도서","브랜드로 남는다는 것","K802839442","9791191211849","03320","북스톤","홍성태 지음","25,000","22,500","2,500","10%","1,250점","20221112","19582"
"764","국내도서","ETS 토익 정기시험 기출종합서 RC 리딩","8917238610","9788917238617","13740","(주)YBM(와이비엠)","ETS 지음","19,800","17,820","1,980","10%","990점","20211213","17469"
"765","국내도서","네가 마지막으로 남긴 노래","K372835913","9791191043532","03830","모모","이치조 미사키 지음, 김윤경 옮김","14,000","12,600","1,400","10%","700점","20211203","17170"
"766","국내도서","해커스톡 여행영어 10분의 기적","8965422779","9788965422778","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","9,800","8,820","980","10%","490점","20190102","16298"
"767","국내도서","혼자 공부하는 컴퓨터 구조 + 운영체제","K932838038","9791162243091","94000","한빛미디어","강민철 지음","28,000","25,200","2,800","10%","1,400점","20220816","15171"
"768","국내도서","화가가 사랑한 나무들","K332830145","9791197060298","03600","오후의서재","앵거스 하일랜드.켄드라 윌슨 지음, 김정연.주은정 옮김","21,000","18,900","2,100","10%","1,050점","20230110","12230"
"769","국내도서","너에게 닿기를 번외편 ∼운명의 사람∼ 2 (일반판)","K012835146","9791136291899","","대원씨아이(만화)","시이나 카루호 지음","5,000","4,500","500","10%","250점","20211228","10297"
"770","국내도서","핑크와 하바네로 1","K882830148","9791169447508","","대원씨아이(만화)","사토나카 미카 지음","5,500","4,950","550","10%","270점","20221229","10100"
"771","국내도서","생생하게 살아 있는 캐릭터 만드는 법","K262830358","9791192706016","03600","아날로그(글담)","키라앤 펠리컨 지음, 정미화 옮김","20,000","18,000","2,000","10%","1,000점","20230110","8010"
"772","국내도서","미스테리아 45호","K642831214","9772384289005","","엘릭시르","미스테리아 편집부 지음","15,000","14,250","750","5%","420점","20230202","7300"
"773","국내도서","2023 조태정 영어 실전동형 모의고사","K922830138","9791167223562","13740","메가스터디교육(공무원)","조태정 지음","21,000","18,900","2,100","10%","1,050점","20221219","7260"
"774","국내도서","기쁨의 천 가지 이름","8989590868","9788989590866","03840","침묵의향기","바이런 케이티.스티븐 미첼 지음, 김윤 옮김","16,800","15,120","1,680","10%","840점","20201118","5800"
"775","국내도서","인센디어리스","8932041229","9788932041223","03840","문학과지성사","권오경 지음, 김지현 옮김","16,000","14,400","1,600","10%","800점","20230109","5460"
"776","국내도서","너는 방과 후 인섬니아 1","K042831400","9791136762665","47830","서울미디어코믹스(서울문화사)","Makoto OJIRO 지음, 오경화 옮김","6,000","5,400","600","10%","300점","20230131","4910"
"777","국내도서","메이드","8947548766","9788947548762","03840","마시멜로","니타 프로스 지음, 노진선 옮김","16,800","15,120","1,680","10%","840점","20230130","4780"
"778","국내도서","조셉 머피 끌어당김의 기적","K302831295","9791130641997","04190","다산북스","조셉 머피 지음, 조율리 옮김","22,000","19,800","2,200","10%","1,100점","20230120","4055"
"779","국내도서","2023 정태성 말랑말랑 소방학개론 辛모의고사 매운맛 5회","K812831517","9791167432483","13350","용감한북스","정태성 지음","12,000","10,800","1,200","10%","600점","20230208","3900"
"780","국내도서","읽으면서 바로 써먹는 어린이 맞춤법 행성","K882831149","9791158682538","73710","파란정원","한날 지음","13,000","11,700","1,300","10%","650점","20230228","3510"
"781","국내도서","100년 체력을 위한 달리기 처방전","K272831418","9791192143750","","현익출판","이슬기 지음","18,000","16,200","1,800","10%","900점","20230213","3360"
